====================================================================================================
run_start_time: 2026-05-06 03:23:39
script: run_nerf_mofasgd.py
expname: fern_100k_mflr3e-3
dataset_type: llff
datadir: ./data/nerf_llff_data/fern
resume_start_step: 0
optimizer_setup:
  optimizer_main: MoFaSGD
  mofa_lr_init: 0.003
  mofa_rank: 64
  mofa_beta: 0.95
  mofa_weight_decay: 0.0
  mofa_eta1: 1.0
  mofa_eta2: 0.0
  mofa_eps: 0.0001
  mofa_use_reciprocal_s: False
  mofa_use_current_projection: False
  mofa_nesterov: False
  optimizer_aux: Adam
  aux_adam_lr_init: 0.0005
  aux_adam_betas: (0.9, 0.999)
  lrate_decay_ksteps: 250
  mofa_tensor_count: 20
  adam_tensor_count: 28
  mofa_total_params: 1185536
  adam_total_params: 6152
train_psnr_log:
iter=7000 global_step=6999 loss=0.0098152161 psnr=23.260452 mofa_lr=2.81271193e-03 adam_lr=4.68785321e-04
iter=7100 global_step=7099 loss=0.0100471303 psnr=23.162298 mofa_lr=2.81012252e-03 adam_lr=4.68353753e-04
iter=7200 global_step=7199 loss=0.0103585888 psnr=23.140614 mofa_lr=2.80753549e-03 adam_lr=4.67922581e-04
iter=7300 global_step=7299 loss=0.0099618211 psnr=23.168583 mofa_lr=2.80495084e-03 adam_lr=4.67491807e-04
iter=7400 global_step=7399 loss=0.0091084614 psnr=23.615959 mofa_lr=2.80236858e-03 adam_lr=4.67061430e-04
iter=7500 global_step=7499 loss=0.0102818413 psnr=23.187696 mofa_lr=2.79978869e-03 adam_lr=4.66631448e-04
iter=7600 global_step=7599 loss=0.0091255642 psnr=23.447803 mofa_lr=2.79721118e-03 adam_lr=4.66201863e-04
iter=7700 global_step=7699 loss=0.0104597192 psnr=23.001844 mofa_lr=2.79463604e-03 adam_lr=4.65772673e-04
iter=7800 global_step=7799 loss=0.0093080336 psnr=23.527990 mofa_lr=2.79206327e-03 adam_lr=4.65343878e-04
iter=7900 global_step=7899 loss=0.0096573131 psnr=23.298473 mofa_lr=2.78949286e-03 adam_lr=4.64915477e-04
iter=8000 global_step=7999 loss=0.0112022739 psnr=22.679661 mofa_lr=2.78692483e-03 adam_lr=4.64487471e-04
iter=8100 global_step=8099 loss=0.0089499019 psnr=23.715832 mofa_lr=2.78435916e-03 adam_lr=4.64059860e-04
iter=8200 global_step=8199 loss=0.0100261401 psnr=23.144014 mofa_lr=2.78179585e-03 adam_lr=4.63632641e-04
iter=8300 global_step=8299 loss=0.0112841111 psnr=22.640320 mofa_lr=2.77923490e-03 adam_lr=4.63205817e-04
iter=8400 global_step=8399 loss=0.0098756440 psnr=23.349907 mofa_lr=2.77667631e-03 adam_lr=4.62779385e-04
iter=8500 global_step=8499 loss=0.0087815933 psnr=23.879124 mofa_lr=2.77412007e-03 adam_lr=4.62353345e-04
iter=8600 global_step=8599 loss=0.0089342827 psnr=23.722704 mofa_lr=2.77156619e-03 adam_lr=4.61927698e-04
iter=8700 global_step=8699 loss=0.0094396807 psnr=23.389336 mofa_lr=2.76901466e-03 adam_lr=4.61502443e-04
iter=8800 global_step=8799 loss=0.0085702362 psnr=23.789747 mofa_lr=2.76646548e-03 adam_lr=4.61077579e-04
iter=8900 global_step=8899 loss=0.0088370293 psnr=23.703476 mofa_lr=2.76391864e-03 adam_lr=4.60653107e-04
iter=9000 global_step=8999 loss=0.0089379475 psnr=23.707743 mofa_lr=2.76137415e-03 adam_lr=4.60229025e-04
iter=9100 global_step=9099 loss=0.0087401159 psnr=23.841694 mofa_lr=2.75883200e-03 adam_lr=4.59805333e-04
iter=9200 global_step=9199 loss=0.0091737229 psnr=23.460489 mofa_lr=2.75629219e-03 adam_lr=4.59382032e-04
iter=9300 global_step=9299 loss=0.0093429750 psnr=23.281630 mofa_lr=2.75375472e-03 adam_lr=4.58959120e-04
iter=9400 global_step=9399 loss=0.0088548176 psnr=23.676069 mofa_lr=2.75121959e-03 adam_lr=4.58536598e-04
iter=9500 global_step=9499 loss=0.0098388474 psnr=23.211279 mofa_lr=2.74868679e-03 adam_lr=4.58114464e-04
iter=9600 global_step=9599 loss=0.0071053617 psnr=24.583889 mofa_lr=2.74615632e-03 adam_lr=4.57692720e-04
iter=9700 global_step=9699 loss=0.0088851554 psnr=23.616503 mofa_lr=2.74362818e-03 adam_lr=4.57271363e-04
iter=9800 global_step=9799 loss=0.0089885052 psnr=23.797209 mofa_lr=2.74110237e-03 adam_lr=4.56850395e-04
iter=9900 global_step=9899 loss=0.0084892279 psnr=23.859835 mofa_lr=2.73857888e-03 adam_lr=4.56429814e-04
iter=10000 global_step=9999 loss=0.0079188496 psnr=24.230764 mofa_lr=2.73605772e-03 adam_lr=4.56009620e-04
iter=10100 global_step=10099 loss=0.0091758166 psnr=23.405817 mofa_lr=2.73353888e-03 adam_lr=4.55589813e-04
iter=10200 global_step=10199 loss=0.0092682000 psnr=23.510923 mofa_lr=2.73102235e-03 adam_lr=4.55170392e-04
iter=10300 global_step=10299 loss=0.0106921233 psnr=23.032017 mofa_lr=2.72850815e-03 adam_lr=4.54751358e-04
iter=10400 global_step=10399 loss=0.0088708978 psnr=23.733862 mofa_lr=2.72599625e-03 adam_lr=4.54332709e-04
iter=10500 global_step=10499 loss=0.0081509370 psnr=23.996725 mofa_lr=2.72348667e-03 adam_lr=4.53914446e-04
iter=10600 global_step=10599 loss=0.0080480017 psnr=24.117430 mofa_lr=2.72097941e-03 adam_lr=4.53496568e-04
iter=10700 global_step=10699 loss=0.0081121046 psnr=24.316986 mofa_lr=2.71847444e-03 adam_lr=4.53079074e-04
iter=10800 global_step=10799 loss=0.0089940149 psnr=23.648235 mofa_lr=2.71597179e-03 adam_lr=4.52661965e-04
iter=10900 global_step=10899 loss=0.0100429002 psnr=23.204865 mofa_lr=2.71347144e-03 adam_lr=4.52245240e-04
iter=11000 global_step=10999 loss=0.0086925644 psnr=23.970596 mofa_lr=2.71097339e-03 adam_lr=4.51828898e-04
iter=11100 global_step=11099 loss=0.0095802210 psnr=23.548435 mofa_lr=2.70847764e-03 adam_lr=4.51412940e-04
iter=11200 global_step=11199 loss=0.0088987723 psnr=23.827423 mofa_lr=2.70598419e-03 adam_lr=4.50997365e-04
iter=11300 global_step=11299 loss=0.0086061563 psnr=23.830009 mofa_lr=2.70349303e-03 adam_lr=4.50582172e-04
iter=11400 global_step=11399 loss=0.0080689164 psnr=23.965841 mofa_lr=2.70100417e-03 adam_lr=4.50167362e-04
iter=11500 global_step=11499 loss=0.0088289808 psnr=23.769033 mofa_lr=2.69851760e-03 adam_lr=4.49752933e-04
iter=11600 global_step=11599 loss=0.0091824718 psnr=23.701437 mofa_lr=2.69603332e-03 adam_lr=4.49338886e-04
iter=11700 global_step=11699 loss=0.0079876967 psnr=24.094759 mofa_lr=2.69355132e-03 adam_lr=4.48925220e-04
iter=11800 global_step=11799 loss=0.0091393106 psnr=23.705986 mofa_lr=2.69107161e-03 adam_lr=4.48511935e-04
iter=11900 global_step=11899 loss=0.0096364254 psnr=23.368248 mofa_lr=2.68859418e-03 adam_lr=4.48099031e-04
iter=12000 global_step=11999 loss=0.0091807619 psnr=23.796112 mofa_lr=2.68611904e-03 adam_lr=4.47686506e-04
iter=12100 global_step=12099 loss=0.0098646078 psnr=23.166489 mofa_lr=2.68364617e-03 adam_lr=4.47274361e-04
iter=12200 global_step=12199 loss=0.0084528979 psnr=23.877642 mofa_lr=2.68117558e-03 adam_lr=4.46862596e-04
iter=12300 global_step=12299 loss=0.0091880187 psnr=23.502495 mofa_lr=2.67870726e-03 adam_lr=4.46451210e-04
iter=12400 global_step=12399 loss=0.0082607251 psnr=24.078375 mofa_lr=2.67624122e-03 adam_lr=4.46040203e-04
iter=12500 global_step=12499 loss=0.0079743676 psnr=24.050043 mofa_lr=2.67377744e-03 adam_lr=4.45629573e-04
iter=12600 global_step=12599 loss=0.0077048084 psnr=24.249752 mofa_lr=2.67131593e-03 adam_lr=4.45219322e-04
iter=12700 global_step=12699 loss=0.0084465528 psnr=24.066551 mofa_lr=2.66885669e-03 adam_lr=4.44809449e-04
iter=12800 global_step=12799 loss=0.0079661105 psnr=24.113701 mofa_lr=2.66639972e-03 adam_lr=4.44399953e-04
iter=12900 global_step=12899 loss=0.0078580836 psnr=24.261562 mofa_lr=2.66394500e-03 adam_lr=4.43990834e-04
iter=13000 global_step=12999 loss=0.0094863987 psnr=23.523796 mofa_lr=2.66149255e-03 adam_lr=4.43582092e-04
iter=13100 global_step=13099 loss=0.0070865378 psnr=24.754829 mofa_lr=2.65904235e-03 adam_lr=4.43173725e-04
iter=13200 global_step=13199 loss=0.0082087480 psnr=24.104134 mofa_lr=2.65659441e-03 adam_lr=4.42765735e-04
iter=13300 global_step=13299 loss=0.0074303644 psnr=24.586735 mofa_lr=2.65414872e-03 adam_lr=4.42358121e-04
iter=13400 global_step=13399 loss=0.0075741638 psnr=24.551813 mofa_lr=2.65170529e-03 adam_lr=4.41950881e-04
iter=13500 global_step=13499 loss=0.0079886401 psnr=24.128479 mofa_lr=2.64926410e-03 adam_lr=4.41544017e-04
iter=13600 global_step=13599 loss=0.0080728587 psnr=24.037525 mofa_lr=2.64682516e-03 adam_lr=4.41137527e-04
iter=13700 global_step=13699 loss=0.0098147597 psnr=23.418154 mofa_lr=2.64438847e-03 adam_lr=4.40731411e-04
iter=13800 global_step=13799 loss=0.0080269240 psnr=24.297787 mofa_lr=2.64195402e-03 adam_lr=4.40325670e-04
iter=13900 global_step=13899 loss=0.0088638384 psnr=23.855452 mofa_lr=2.63952181e-03 adam_lr=4.39920302e-04
iter=14000 global_step=13999 loss=0.0078063514 psnr=24.494743 mofa_lr=2.63709184e-03 adam_lr=4.39515306e-04
iter=14100 global_step=14099 loss=0.0076920167 psnr=24.407894 mofa_lr=2.63466411e-03 adam_lr=4.39110684e-04
iter=14200 global_step=14199 loss=0.0076351613 psnr=24.131651 mofa_lr=2.63223861e-03 adam_lr=4.38706435e-04
iter=14300 global_step=14299 loss=0.0075301346 psnr=24.417564 mofa_lr=2.62981534e-03 adam_lr=4.38302557e-04
iter=14400 global_step=14399 loss=0.0077547058 psnr=24.400682 mofa_lr=2.62739431e-03 adam_lr=4.37899051e-04
iter=14500 global_step=14499 loss=0.0072047268 psnr=24.810865 mofa_lr=2.62497550e-03 adam_lr=4.37495917e-04
iter=14600 global_step=14599 loss=0.0087752622 psnr=23.976257 mofa_lr=2.62255892e-03 adam_lr=4.37093154e-04
iter=14700 global_step=14699 loss=0.0097752325 psnr=23.266409 mofa_lr=2.62014457e-03 adam_lr=4.36690762e-04
iter=14800 global_step=14799 loss=0.0069979215 psnr=24.631706 mofa_lr=2.61773244e-03 adam_lr=4.36288740e-04
iter=14900 global_step=14899 loss=0.0082500875 psnr=24.274172 mofa_lr=2.61532253e-03 adam_lr=4.35887088e-04
iter=15000 global_step=14999 loss=0.0074405740 psnr=24.821915 mofa_lr=2.61291484e-03 adam_lr=4.35485806e-04
iter=15100 global_step=15099 loss=0.0081741419 psnr=24.118242 mofa_lr=2.61050936e-03 adam_lr=4.35084893e-04
iter=15200 global_step=15199 loss=0.0069601545 psnr=24.764711 mofa_lr=2.60810610e-03 adam_lr=4.34684350e-04
iter=15300 global_step=15299 loss=0.0066424408 psnr=25.113556 mofa_lr=2.60570505e-03 adam_lr=4.34284175e-04
iter=15400 global_step=15399 loss=0.0073572090 psnr=24.780481 mofa_lr=2.60330621e-03 adam_lr=4.33884369e-04
