====================================================================================================
run_start_time: 2026-05-06 03:23:39
script: run_nerf_mofasgd.py
expname: fortress_100k_mflr3e-3
dataset_type: llff
datadir: ./data/nerf_llff_data/fortress
resume_start_step: 0
optimizer_setup:
  optimizer_main: MoFaSGD
  mofa_lr_init: 0.003
  mofa_rank: 64
  mofa_beta: 0.95
  mofa_weight_decay: 0.0
  mofa_eta1: 1.0
  mofa_eta2: 0.0
  mofa_eps: 0.0001
  mofa_use_reciprocal_s: False
  mofa_use_current_projection: False
  mofa_nesterov: False
  optimizer_aux: Adam
  aux_adam_lr_init: 0.0005
  aux_adam_betas: (0.9, 0.999)
  lrate_decay_ksteps: 250
  mofa_tensor_count: 20
  adam_tensor_count: 28
  mofa_total_params: 1185536
  adam_total_params: 6152
train_psnr_log:
iter=7300 global_step=7299 loss=0.0045408071 psnr=26.707699 mofa_lr=2.80495084e-03 adam_lr=4.67491807e-04
iter=7400 global_step=7399 loss=0.0051194695 psnr=26.144157 mofa_lr=2.80236858e-03 adam_lr=4.67061430e-04
iter=7500 global_step=7499 loss=0.0048126397 psnr=26.459560 mofa_lr=2.79978869e-03 adam_lr=4.66631448e-04
iter=7600 global_step=7599 loss=0.0046137292 psnr=26.900122 mofa_lr=2.79721118e-03 adam_lr=4.66201863e-04
iter=7700 global_step=7699 loss=0.0044913003 psnr=27.060877 mofa_lr=2.79463604e-03 adam_lr=4.65772673e-04
iter=7800 global_step=7799 loss=0.0044380063 psnr=26.895334 mofa_lr=2.79206327e-03 adam_lr=4.65343878e-04
iter=7900 global_step=7899 loss=0.0045561958 psnr=26.800102 mofa_lr=2.78949286e-03 adam_lr=4.64915477e-04
iter=8000 global_step=7999 loss=0.0047853580 psnr=26.759550 mofa_lr=2.78692483e-03 adam_lr=4.64487471e-04
iter=8100 global_step=8099 loss=0.0047912449 psnr=26.594410 mofa_lr=2.78435916e-03 adam_lr=4.64059860e-04
iter=8200 global_step=8199 loss=0.0051302454 psnr=26.666275 mofa_lr=2.78179585e-03 adam_lr=4.63632641e-04
iter=8300 global_step=8299 loss=0.0045457901 psnr=26.975185 mofa_lr=2.77923490e-03 adam_lr=4.63205817e-04
iter=8400 global_step=8399 loss=0.0043400358 psnr=27.092066 mofa_lr=2.77667631e-03 adam_lr=4.62779385e-04
iter=8500 global_step=8499 loss=0.0045786370 psnr=27.088737 mofa_lr=2.77412007e-03 adam_lr=4.62353345e-04
iter=8600 global_step=8599 loss=0.0044487617 psnr=26.827539 mofa_lr=2.77156619e-03 adam_lr=4.61927698e-04
iter=8700 global_step=8699 loss=0.0049251430 psnr=26.540087 mofa_lr=2.76901466e-03 adam_lr=4.61502443e-04
iter=8800 global_step=8799 loss=0.0043627108 psnr=26.914724 mofa_lr=2.76646548e-03 adam_lr=4.61077579e-04
iter=8900 global_step=8899 loss=0.0039976616 psnr=27.700563 mofa_lr=2.76391864e-03 adam_lr=4.60653107e-04
iter=9000 global_step=8999 loss=0.0047592930 psnr=26.516821 mofa_lr=2.76137415e-03 adam_lr=4.60229025e-04
iter=9100 global_step=9099 loss=0.0041335146 psnr=27.280615 mofa_lr=2.75883200e-03 adam_lr=4.59805333e-04
